Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24 h) Nouv. cas,Situation du jour (24 h) Décès communautaires (Swab+).,Situation du jour (24 h) Décès confirmés intra-CTE,Situation du jour (24 h) Total décès confirmés
Ituri,2 160,811,"37,5 %",70,23,12,35
Bunia,639,211,"33,0%",18,8,1,9
Rwampara,450,133,"29,6%",10,4,5,9
Mongbwalu,363,203,"55,9%",3,0,4,4
Nizi,214,93,"43,5%",16,5,1,6
Nyankunde,99,28,"28,3%","","","",""
Lita,78,27,"34,6%",1,0,0,0
Mangala,61,38,"62,3%",3,3,0,3
Nia-Nia,51,15,"29,4%",2,0,0,0
Bambu,40,14,"35,0%",4,1,1,2
Komanda,27,10,"37,0%","","","",""
Tchomia,23,6,"26,1%",1,1,0,1
Non identifiées,17,0,"0,0 %","","","",""
Fataki,11,7,"63,6%","","","",""
Kilo,11,3,"27,3%","","","",""
Adja,10,1,"10,0%",10,1,0,1
Mandima,9,4,"44,4%","","","",""
Mambasa,8,6,"75,0%","","","",""
Logo,8,1,"12,5%",1,0,0,0
Ariwara,7,1,"14,3%",1,0,0,0
Damas,7,0,"0,0%","","","",""
Aungba,6,2,"33,3%","","","",""
Drodro,5,3,"60,0%","","","",""
Rimba,5,0,"0,0%","","","",""
Aru,4,1,"25,0%","","","",""
Kambala,2,2,"100,0%","","","",""
Lolwa,2,1,"50,0%","","","",""
Boga,1,1,"100,0%","","","",""
Gety,1,0,"0,0%","","","",""
Mahagi,1,0,"0,0%","","","",""
Nord-Kivu,239,141,"59,0 %",9,1,1,2
Katwa,104,72,"69,2 %",6,0,1,1
Butembo,58,30,"51,7 %",1,1,0,1
Beni,37,25,"67,6 %","","","",""
Musienene,19,5,"26,3 %",1,0,0,0
Kyondo,9,4,"44,4 %","","","",""
Kalunguta,2,1,"50,0 %","","","",""
Masereka,3,0,"0,0 %","","","",""
Oicha,4,3,"75,0 %",1,0,0,0
Goma,1,0,"0,0 %","","","",""
Vuhovi,1,1,"100,0 %","","","",""
Mabalako,1,0,"0,0 %","","","",""
Sud-Kivu,3,1,"33,3 %",—,—,"",""
Miti-Murhesa,3,1,"33,3 %","","","",""
Haut-Uélé,16,10,"62,5 %",—,—,"",""
Wamba,6,3,"50,0 %","","","",""
Pawa,3,3,"100,0 %","","","",""
Boma Mangbetu,4,2,"50,0 %","","","",""
Isiro,3,2,"66,7 %","","","",""
Tshopo,5,4,"80,0 %",—,—,"",""
Makiso-Kisangani,3,3,"100,0 %","","","",""
Mangobo,1,1,"100,0 %","","","",""
Lubunga,1,0,"0,0 %","","","",""
Total,2 423,967,"39,9 %",79,24,13,37
