Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1705,577,"33,8%"
Bunia,503,156,"31,0%"
Rwampara,384,89,"23,2%"
Mongbwalu,329,171,"52,0%"
Nyankunde,97,23,"23,7%"
Nizi,110,36,"32,7%"
Lita,45,19,"42,2%"
Komanda,25,8,"32,0%"
Bambu,31,10,"32,3%"
Kilo,9,1,"11,1%"
Mangala,50,29,"58,0%"
Tchomia,19,4,"21,1%"
Damas,5,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,4,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,5,4,"80,0%"
Logo,7,0,"0,0%"
Drodro,4,3,"75,0%"
Gety,1,0,"0,0%"
Kambala,2,2,"100,0%"
Nia-Nia,35,13,"37,1%"
Fataki,4,1,"25,0%"
Mandima,8,3,"37,5%"
Lolwa,1,1,"100,0%"
Boga,1,1,"100,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,165,94,"57,0%"
Butembo,43,20,"46,5%"
Katwa,67,45,"67,2%"
Beni,30,20,"66,7%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,5,3,"60,0%"
Goma,1,0,"0,0%"
Masereka,3,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,9,2,"22,2%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
HAUT-UÉLÉ*,1,1,"100,0%"
Wamba,1,1,"100,0%"
TSHOPO*,4,2,"50,0%"
Makiso-Kisangani,2,2,"100,0%"
Mangobo,1,0,"0,0%"
Lubunga,1,0,"0,0%"
TOTAL,1873,672,"35,9%"
