INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,1% (54/55)","100,0% (14/14)","98,6% (68/69)"
Nombre de personnes passées aux PoE/PoC,85 218,50 644,135 862
% des voyageurs screenés,"94,6%","97,2%","95,8%"
% des voyageurs ayant lavé les mains,"95,0%","97,2%","95,8%"
% des voyageurs sensibilisés,"99,7%","97,2%","98,8%"
Nombre d’alertes notifiées,8,0,8
Nombre d’alertes vivantes validées,6,0,6
Nombre des corps sans vie interceptés ce jour,0,0,0
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"83,3%","0,0%","83,3%"
% des corps sans vie swabés,NA,NA,NA
Nombre de résultat positif des cas suspects référés,0,0,0
