N°,Défis,Impact,Actions requises
1,Réticence aux prélèvements post-mortem (EDS/swabs) et résistance communautaire,"Retard de confirmation, sous-estimation des cas, mortalité communautaire élevée","Intensifier la CREC, impliquer les leaders religieux et communautaires, sécuriser les équipes, renforcer les équipes EDS (fait : +3 à Nizi)"
2,"Capacité des CTE/CT insuffisante ; saturation au Nord-Kivu (117,2 %)","Retards d'admission, risque de transmission nosocomiale","Accélérer l'expansion des CTE, déployer des structures temporaires, ouvrir plus de centres de transit"
3,"Suivi des contacts sous la cible (81,5 % vs 95 %) et hétérogène (Nyankunde 28,9 %, Nia-Nia 36,2 %)",Chaînes de transmission non interrompues,"Former, déployer et motiver les relais communautaires (RECO) ; supervision renforcée"
4,Faible remontée et investigation des alertes en Ituri ; incohérences ZS / DHIS2,"Transmission non détectée, expansion silencieuse",Renforcer la surveillance communautaire ; harmoniser les bases ZS/DHIS2 ; ajouter des investigateurs
5,Aucun des nouveaux cas rattaché à un contact listé (0 % le 12/07),Transmission communautaire non maîtrisée,"Investigation approfondie, recherche active, élargissement du listage"
6,Insuffisance d'ambulances et de structures d'isolement,Retards de transfert et d'isolement,"Prépositionner des ambulances (dont aux PoE/PoC), déployer des CT dans chaque ZS"
7,Backlog d'échantillons et diagnostic tardif au Nord-Kivu,"Retard de confirmation, létalité élevée (56,5 %)","Plan de rattrapage laboratoire, renforcement des capacités diagnostiques"
8,"Personnel de première ligne infecté (114 cas, 36 décès, létalité 31,6 %)",Perte de capacités et risque nosocomial,"Renforcer la PCI, doter en EPI et en kits PCI/EHA"
9,"Insécurité et accès limité (Nia-Nia, CODECO/ADF)",Restriction des opérations,Renforcer la coordination sécuritaire et l'accès humanitaire
10,Forte mobilité des populations et extension urbaine (Tshopo/Kisangani),"Risque de diffusion urbaine, fluviale et transfrontalière",Renforcer la surveillance aux PoE/PoC et la coordination transfrontalière
11,Ressources insuffisantes : mobilité et paiement des prestataires,"Démotivation des acteurs, inefficience","Mobiliser les ressources, régulariser les paiements"
12,Continuité des services essentiels compromise ; intrants MEG et nutritionnels insuffisants,Augmentation de la mortalité indirecte (non-Ebola),Rendre effective la gratuité des soins ; approvisionner en MEG et intrants nutritionnels
