Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),"Létalité (CFR, %)"
ITURI,1096,263,"24,0%"
Bunia,323,64,"19,8%"
Rwampara,258,43,"16,7%"
Mongbwalu,250,109,"43,6%"
Nyankunde,93,11,"11,8%"
Nizi,32,6,"18,8%"
Lita,26,6,"23,1%"
Komanda,13,3,"23,1%"
Bambu,14,3,"21,4%"
Kilo,9,1,"11,1%"
Mangala,17,8,"47,1%"
Tchomia,10,0,"0,0%"
Damas,4,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,3,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,2,1,"50,0%"
Logo,7,0,"0,0%"
Drodro,1,1,"100,0%"
Gety,1,0,"0,0%"
Kambala,1,1,"100,0%"
Nia-Nia,5,3,"60,0%"
Fataki,1,0,"0,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,104,57,"54,8%"
Butembo,33,14,"42,4%"
Katwa,35,22,"62,9%"
Beni,22,13,"59,1%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,3,2,"66,7%"
Goma,1,0,"0,0%"
Masereka,1,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,2,2,"100,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
TOTAL,1203,321,"26,7%"
