INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"94,5% (52/55)","100,0% (14/14)","95,7% (66/69)"
Nombre des personnes passées aux PoE/PoC,96 447,55 924,152 371
% des voyageurs screenés,"94,9%","98,0%","96,1%"
% des voyageurs ayant lavé les mains,"94,0%","98,0%","95,5%"
% des voyageurs sensibilisés,"98,0%","98,0%","98,0%"
Nombre d’alertes notifiées,7,3,10
Nombre d’alertes vivantes validées,3,1,4
Nombre des corps sans vie interceptés ce jour,3,0,3
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"100,0%","100,0%","100,0%"
% des corps sans vie swabés,"100,0%","0,0%","100,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
