Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"6 (33,3 %)",0
Cas confirmés en cours de suivi,"106 (58,6 %)",3 (100 %)
Nouveaux cas suspects,"25 (59,5 %)",4 (100 %)
Cas suspects en cours de suivi,"87 (56,9%)",15 (100 %)
Résultats de laboratoire annoncés (dont positifs),33,9
Enfants séparés — crèche / communauté,5,3
Accompagnants au CTE,0,0
Personnels de première ligne (PPL),0,0
Membres des ménages et communautés,239,2
EDS appuyés (SMSPS),15,0
