Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"26 (83,9 %)",0
Cas confirmés en cours de suivi,"112 (67,5 %)",9 (100 %)
Nouveaux cas suspects,"33 (67,3 %)",11 (100 %)
Cas suspects en cours de suivi,"105 (63,6%)",17(100 %)
Résultats de laboratoire annoncés (dont positifs),53,8
Enfants séparés — crèche / communauté,24,2
Accompagnants au CTE,0,0
Personnels de première ligne (PPL),0,0
Membres des ménages et communautés,175,0
EDS appuyés (SMSPS),40,0
