INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"85,5% (47/55)","92,3% (12/13)","86,8% (59/68)"
Nombre des personnes passées aux PoE/PoC,92 533,171 591,264 124
% des voyageurs screenés,"96,2%","97,0%","96,7%"
% des voyageurs ayant lavé les mains,"92,4%","97,5%","95,7%"
% des voyageurs sensibilisés,"94,7%","97,0%","89,3%"
Nombre d’alertes notifiées,3,0,3
Nombre d’alertes vivantes validées,1,0,1
Nombre des corps sans vie interceptés ce jour,0,0,0
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"100,0%","0,0%","100,0%"
% des corps sans vie swabés,"100,0%","0,0%","100,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
