INDICATEURS CLES,ITURI,SUD-KIVU,NORD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"10 (55,5%)",4(50%),0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"41 (32,8%)","11 (37,9%)",1(100%)
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"17 (27,8%)","4 (44,4%)",5 (100%)
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"51 (26,5%)","15 (23,4%)",5 (100%)
Résultats de laboratoire ayant été annoncés,22,4,0
Dont positifs,7,8,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,3,4,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,9,1
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,40,32,28
Nb PPL ayant bénéficié d'interventions SMSPS,3,12,0
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,44,12,0
Nbre d'EDS appuyés,4,0,0
