Provinces touchées,Zones de santé avec cas confirmés,Nouveaux cas confirmés,Nouveaux décès confirmés,Nouveaux cas probables,Nouveaux cas suspects,Nouveaux contacts listés,Guéris du jour
Ituri,Bunia,5,0,ND,35,0,0
Ituri,Rwampara,3,0,ND,25,286,0
Ituri,Mungbwalu,0,0,ND,8,0,0
Ituri,Bambu,1,0,ND,1,128,0
Ituri,Nyankunde,3,0,ND,9,0,0
Ituri,Sous total,12,0,0,78,414,0
Nord-Kivu,Goma,0,0,ND,ND,ND,0
Nord-Kivu,Butembo,0,0,ND,ND,ND,0
Nord-Kivu,Katwa,1,0,ND,ND,ND,0
Nord-Kivu,Sous total,1,0,0,0,0,0
Total,Total,13,0,0,78,414,0
