Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5461,2481,"45,4%",55,10,21,31
Adja,11,1,"9,1%","","","",0
Aru,8,6,"75,0%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,176,39,"22,2%","","","",0
Boga,2,2,"100,0%","","","",0
Bunia,1523,476,"31,3%",21,5,"",5
Damas,32,9,"28,1%",2,0,"",0
Drodro,15,7,"46,7%","","","",0
Fataki,78,30,"38,5%","","","",0
Gethy,7,3,"42,9%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,33,12,"36,4%","","","",0
Komanda,118,80,"67,8%",1,1,"",1
Lita,247,122,"49,4%",2,0,"",0
Logo,13,5,"38,5%","","","",0
Lolwa,25,7,"28,0%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,17,7,"41,2%","","","",0
Mandima,44,24,"54,5%",2,1,"",1
Mangala,297,141,"47,5%",2,0,"",0
Mongbwalu,640,293,"45,8%",2,2,"",2
Nia-Nia,228,115,"50,4%",1,0,"",0
Nizi,723,273,"37,8%",14,0,"",0
Nyankunde,125,36,"28,8%","","","",0
Rimba,11,4,"36,4%","","","",0
Rwampara,999,348,"34,8%",7,1,"",1
Tchomia,63,25,"39,7%",1,0,"",0
A ventiler,NA,408,NA,0,0,21,21
Nord-Kivu,1093,709,"64,9%",27,9,3,12
Beni,185,138,"74,6%",4,1,2,3
Biena,9,4,"44,4%","","","",0
Butembo,217,148,"68,2%",6,2,"",2
Goma,1,0,"0,0%","","","",0
Kalunguta,20,9,"45,0%",2,0,"",0
Katwa,477,305,"63,9%",9,3,"",3
Kayna,1,0,"0,0%","","","",""
Kyondo,25,17,"68,0%",2,1,1,2
Lubero,7,4,"57,1%",1,0,"",0
Mabalako,10,7,"70,0%","","","",0
Manguredjipa,4,3,"75,0%","","","",0
Masereka,15,6,"40,0%","","","",0
Musienene,101,55,"54,5%",1,1,"",1
Mutwanga,2,2,"100,0%","","","",0
Oicha,9,6,"66,7%","","","",0
Vuhovi,10,5,"50,0%",2,1,"",1
Haut-Uélé,258,107,"41,5%",2,0,0,0
Boma Mangbetu,29,14,"48,3%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,92,37,"40,2%","","","",0
Pawa,46,23,"50,0%","","","",0
Rungu,2,1,"50,0%","","","",0
Wamba,86,31,"36,0%",2,0,"",0
Tshopo,24,9,"37,5%",2,0,0,0
Bafwasende,4,0,"0,0%",2,0,"",0
Kabondo,4,1,"25,0%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,10,5,"50,0%","","","",0
Mangobo,3,2,"66,7%","","","",0
Tshopo,1,0,"0,0%","","","",0
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,4,3,"75,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",0
Ganga,2,2,"100,0%","","","",0
Total,6843,3310,"48,4%",86,19,24,43
