INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"4 (57,1%)",0,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"53 (39,8%)","6 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"1 (3,1%)","7 (100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"67 (73,6%)","15 (100,0%)","1 (100,0%)"
Résultats de laboratoire ayant été annoncés,10,17,3
Dont positifs,4,1,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,0,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,11
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,111,9,6
Nb PPL ayant bénéficié d'interventions SMSPS,9,7,15
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,51,34,0
Nbre d'EDS appuyés,0,2,0
