INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Proportion des Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,3 (27.3%),0,0
Proportion des cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,18 (48.6%),2(100%),3 (100%)
Proportion Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,24 (100.0%),22(78.6%),3 (100%)
Proportion cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,49 (32.7%),63,38 (100 %)
Proportion Résultats de laboratoire ayant été annoncé,157 (47.6%),1,19 (50%)
Dont positifs,70 (44.6%),"",""
Proportion Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,0 (0.0%),0,0
Proportion Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,6 (100.0%),10,0
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,18.0,14,0
Nb PPL ayant bénéficié d'interventions SMSPS,27.0,14,5
Nb des ménages et communautés ayant bénéficié d'interventions SMSPS,38.0,38,10
Proportion des malades ayant bénéficié des Kit de dignité au CTE,0.0,0,0
