INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,1% (54/55)","100,0% (14/14)","98,5% (68/69)"
Nombre de personnes passées aux PoE/PoC,166 171,63 837,230 008
% des voyageurs screenés,"98,2%","97,5%","97,9%"
% des voyageurs ayant lavé les mains,"97,9%","97,5%","97,7%"
% des voyageurs sensibilisés,99%,"97,5%","98,2%"
Nombre d’alertes notifiées,2,4,6
Nombre d’alertes vivantes validées,1,0,1
Nombre des corps sans vie interceptés ce jour,1,3,4
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"100,0%","0,0%","0,0%"
% des corps sans vie swabés,"100,0%","100,0%","100,0%"
Nombre de résultat positif des cas suspects référés,1,0,1
