Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"13 (76,4 %)",1 (100 %)
Cas confirmés en cours de suivi,"101 (68,7 %)",2 (100 %)
Nouveaux cas suspects,"16 (31,3 %)",3 (100 %)
Cas suspects en cours de suivi,"87 (58,3%)",20(100 %)
Résultats de laboratoire annoncés (dont positifs),38,8
Enfants séparés — crèche / communauté,13,1
Accompagnants au CTE,0,0
Personnels de première ligne (PPL),0,0
Membres des ménages et communautés,114,4
EDS appuyés (SMSPS),16,4
