Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,808,141,ND,ND,949
Patients au lit (J-1),538,181,ND,ND,719
Total admissions (24 h),92,48,ND,ND,140
Total admissions,630,229,ND,ND,859
Sorties Décédés,19,3,ND,ND,22
Sorties Non-cas,49,36,ND,ND,85
Sorties Guéris,13,1,ND,ND,14
Sorties Evadés,5,0,ND,ND,5
Sorties Transférés à l'HGR,0,0,ND,ND,0
Total sorties (24 h),86,40,ND,ND,126
Patients en isolement (fin J),544,189,ND,ND,733
dont confirmés,290,23,ND,ND,313
dont suspects,254,166,ND,ND,420
Taux d'occupation,"67,3%","134,0 %",ND,ND,"77,3%"
