col,Ituri,Nord-Kivu,Tshopo,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (18/18),"35,0 % (7/20)","87,9 % (94/107)"
Nombre de personnes passées aux PoE/PoC,128 551,77 138,2 998,208 687
% des voyageurs screenés,"96,0 %","96,92 %","99,3 %","96,4 %"
% des voyageurs ayant lavé les mains,"97,0 %","96,92 %","99,1 %","97,0 %"
% des voyageurs sensibilisés,"99,5 %","96,92 %",100 %,"98,6 %"
Nombre d’alertes notifiées,5,2,0,7
Nombre d’alertes vivantes validées,3,2,0,5
Nombre de corps sans vie interceptés ce jour,1,0,0,1
Nombre de contacts à problème interceptés ce jour,0,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"33,3 % (1/3)",100 % (2/2),0,"60,0 % (3/5)"
% des corps sans vie swabés,100 % (1/1),0,0,100 % (1/1)
