Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,"96,0 % (58/60)",100 % (18/18),"55,5 % (5/9)","76,47% (13/17)","54,5 % (4/11)",80% (12/15),"79,13 % (91/115)"
% des PoE/PoC stratégiques fonctionnels,"9,09 % (1/11)","","",100% (17/17),"","","9,1 % (1/11)"
Nombre de personnes passées aux PoE/PoC,145990,88249,6 609,3 981,15 539,6091,266 459
% des voyageurs screenés,"99,00%","96,83%","98,00%","99,90%","98,30%","98,16%","98,41%"
% des voyageurs ayant lavé les mains,"97,90%","96,83%","98,00%","99,30%","96,00%","98,16%","97,61%"
% des voyageurs sensibilisés,"99,50%","96,83%",100%,100%,"96,60%","98,16%","98,59%"
Nombre d’alertes notifiées,2,4,0,0,0,0,6
Nombre d’alertes vivantes validées (cas suspects),2,3,0,0,0,0,5
Nombre de corps sans vie interceptés ce jour,0,0,0,0,0,0,0
% des cas suspects transférés au CT/CTE,100%,100%,100%,100%,0%,-,100%
% des corps sans vie swabés/sécurisés,0%,0%,ND,100%,0%,-,0%
% des cas suspects investigués dans 24 h,100%,100%,100%,ND,0%,-,100%
