Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"13 (72,2 %)",1(100%)
Cas confirmés en cours de suivi,"126 (95,5%)",2 (100 %)
Nouveaux cas suspects,"25 (55,6 %)",3 (100 %)
Cas suspects en cours de suivi,"82(59,9%)",13(100 %)
Résultats de laboratoire annoncés (dont positifs),46,1
Enfants séparés — crèche / communauté,10,1
Accompagnants au CTE,316,6
Personnels de première ligne (PPL),30,2
Membres des ménages et communautés,39,0
EDS appuyés (SMSPS),9,0
