Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"1 (9,1 %)",1 (100%)
Cas confirmés en cours de suivi,"78 (55,3 %)",7 (100 %)
Nouveaux cas suspects,"6 (13,6 %)",10 (100 %)
Cas suspects en cours de suivi,"95 (75,4 %)",15 (100 %)
Résultats de laboratoire annoncés (dont positifs),26(1),2 (2)
Enfants séparés — crèche / communauté,5/0,0 / 0
Accompagnants au CTE,162,12
Personnels de première ligne (PPL),19,11
Membres des ménages / communautés,24,0
EDS appuyés (SMSPS),8,0
