Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Complétude des rapports,90% (54/60),100% (19/19),"55,5% (5/9)","88,9% (16/18)","63,6% (7/11)","86,3% (101/117)"
% des PoE/PoC stratégiques fonctionnels,100%,100%,100%,100%,100%,100%
Nombre de personnes passées aux PoE/PoC,132 556,7 999,8 770,19 321,11 461,180 107
% des voyageurs screenés,"98,00%","99,00%","98,90%","98,20%","97,00%","98,10%"
% des voyageurs ayant lavé les mains,"98,00%","99,00%","98,90%","98,00%","97,00%","98,00%"
% des voyageurs sensibilisés,"99,00%","99,00%","100,00%","100,00%","100,00%","99,30%"
Nombre d’alertes notifiées,0,1,0,0,0,1
Nombre d’alertes vivantes validées (cas suspects),0,1,0,0,0,1
Nombre de corps sans vie interceptés ce jour,0,0,0,0,0,0
% des cas suspects transférés au CT/CTE,NA,100%,NA,NA,NA,100%
% des corps sans vie swabés/sécurisés,NA,NA,NA,NA,NA,NA
% des cas suspects investigués dans 24 h,NA,100%,NA,NA,NA,100%
