Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),"Létalité (CFR, %)"
ITURI,853,199,"23,3%"
Bunia,253,42,"16,6%"
Rwampara,199,35,"17,6%"
Mongbwalu,198,87,"43,9%"
Nyankunde,77,7,"9,1%"
Nizi,26,5,"19,2%"
Lita,20,6,"30,0%"
Komanda,10,3,"30,0%"
Bambu,9,2,"22,2%"
Kilo,7,1,"14,3%"
Mangala,7,4,"57,1%"
Tchomia,5,0,"0,0%"
Damas,4,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,3,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,2,1,"50,0%"
Logo,2,0,"0,0%"
Drodro,1,1,"100,0%"
Gety,1,0,"0,0%"
Kambala,1,1,"100,0%"
Nia-Nia,1,1,"100,0%"
Fataki,1,0,"0,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,77,45,"58,4%"
Butembo,25,11,"44,0%"
Katwa,24,16,"66,7%"
Beni,16,12,"75,0%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,2,1,"50,0%"
Goma,1,0,"0,0%"
Masereka,1,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,1,1,"100,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
TOTAL,933,245,"26,3%"
