INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"85,5% (47/55)","92,3% (12/13)","86,8% (59/68)"
Nombre des personnes passées aux PoE/PoC,82 504,48 419,130 923
% des voyageurs screenés,"98,0%","97,1%","97,7%"
% des voyageurs ayant lavé les mains,"96,1%","97,1%","97,0%"
% des voyageurs sensibilisés,"99,1%","97,1%","98,4%"
Nombre d’alertes notifiées,2,4,6
Nombre d’alertes vivantes validées,2,0,2
Nombre des corps sans vie interceptés ce jour,0,0,0
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"0,0%","0,0%","0,0%"
% des corps sans vie swabé,"0,0%","0,0%","0,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
