Indicateurs,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (16/16),100 % (76/76)
Nombre de personnes passées aux PoE/PoC,104656,63813,168469
% des voyageurs screenés,95 %,"97,7 %","95,3 %"
% des voyageurs ayant lavé les mains,94 %,"97,7 %","95,2 %"
% des voyageurs sensibilisés,"96,1 %","97,7 %","96,5%"
Nombre d'alertes notifiées,5,5,10
Nombre d'alertes vivantes validées,5,5,10
Nombre de corps sans vie interceptés ce jour,0,2,2
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,100%,100%,"66,7 % (2/3)"
% des corps sans vie swabés,"100,0 % (1/1)",100%,"100,0 % (1/1)"
Nombre de résultat positif des cas suspects référés,ND,0,0
