Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,706,141,ND,10,857
Patients au lit (J-1),540,166,ND,1,707
Total admissions (24 h),71,47,ND,3,121
Total admissions,611,213,ND,4,828
Sorties décédés,13,1,ND,0,14
Sorties Non-cas,33,30,ND,0,63
Sorties Guéris,21,1,ND,0,22
Sorties Evadés,4,0,ND,0,4
Sorties Transférés à l'HGR,1,0,ND,0,1
Total sorties (24 h),72,32,ND,0,104
Patients en isolement (fin J),539,181,ND,4,724
dont confirmés,257,15,ND,0,272
dont suspects,282,166,ND,4,452
Taux d'occupation,"76,3 %","123,1 %",ND,40%,"84,5 %"
