INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,1% (54/55)","100,0% (14/14)","98,5% (68/69)"
Nombre de personnes passées aux PoE/PoC,95 658,52 921,148 579
% des voyageurs screenés,"94,2%","97,5%","95,9%"
% des voyageurs ayant lavé les mains,"93,5%","97,5%","94,0%"
% des voyageurs sensibilisés,"98,9%","97,5%","98,2%"
Nombre d’alertes notifiées,8,1,9
Nombre d’alertes vivantes validées,6,0,6
Nombre des corps sans vie interceptés ce jour,2,1,3
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,75%,"0,0%","66,6%"
% des corps sans vie swabés,"50,0%","0,0%","50,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
