Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4607,2065,"44,8%",35,12,10,22
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,127,28,"22,0%",1,0,"",0
Boga,1,1,"100,0%","","","",0
Bunia,1279,402,"31,4%",17,7,"",7
Damas,27,9,"33,3%","","","",0
Drodro,13,6,"46,2%","","","",0
Fataki,73,30,"41,1%","","","",0
Gethy,5,2,"40,0%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,31,12,"38,7%","","","",0
Komanda,58,38,"65,5%",1,1,"",1
Lita,196,108,"55,1%",4,2,"",2
Logo,11,5,"45,5%","","","",0
Lolwa,17,4,"23,5%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,14,7,"50,0%","","","",0
Mandima,32,19,"59,4%",2,0,"",0
Mangala,191,106,"55,5%","","","",0
Mongbwalu,600,283,"47,2%","","","",0
Nia-Nia,191,107,"56,0%",1,0,"",0
Nizi,609,252,"41,4%",6,2,"",2
Nyankunde,122,35,"28,7%","","","",0
Rimba,10,4,"40,0%","","","",0
Rwampara,902,334,"37,0%",2,0,"",0
Tchomia,54,25,"46,3%",1,0,"",0
A ventiler,NA,233,NA,NA,NA,10,10
Nord-Kivu,714,490,"68,6%",16,11,3,14
Beni,114,84,"73,7%",6,3,"",3
Butembo,137,106,"77,4%",1,1,2,3
Goma,1,0,"0,0%","","","",0
Kalunguta,13,6,"46,2%","","","",0
Katwa,342,229,"67,0%",8,6,1,7
Kyondo,16,12,"75,0%","","","",0
Lubero,1,1,"100,0%","","","",0
Mabalako,3,2,"66,7%",1,1,"",1
Masereka,7,4,"57,1%","","","",0
Musienene,68,39,"57,4%","","","",0
Mutwanga,1,1,"100,0%","","","",0
Oicha,6,4,"66,7%","","","",0
Vuhovi,5,2,"40,0%","","","",0
Haut-Uélé,173,77,"44,5%",4,0,0,0
Boma Mangbetu,24,9,"37,5%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,67,28,"41,8%",4,0,0,0
Pawa,20,15,"75,0%","","","",0
Rungu,1,0,"0,0%","","","",0
Wamba,58,24,"41,4%","","","",0
Tshopo,15,8,"53,3%",0,0,0,0
Bafwasende,1,0,"0,0%","","","",0
Kabondo,3,1,"33,3%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,6,4,"66,7%","","","",0
Mangobo,2,2,"100,0%","","","",0
Tshopo,1,0,"0,0%","","","",""
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,2,1,"50,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",""
Total,5514,2642,"47,9%",55,23,13,36
