Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,95 % (57/60),100 % (18/18),"55,5 % (5/9)","71,4 % (5/7)",64 % (7/11),45 % (9/20),"80,8 % (101/125)"
% des PoE/PoC stratégiques fonctionnels,"9,09 % (1/11)",100 %,NA,35 % (7/20),64 % (7/11),ND,ND
Nombre de personnes passées aux PoE/PoC,146 033,85 571,8 267,6 691,13 719,4 412,264 693
% des voyageurs screenés,"97,5 %","97,0 %","98,0 %","99,0 %","99,0 %","98,9 %","97,5 %"
% des voyageurs ayant lavé les mains,"97,3 %","97,0 %","98,0 %","99,0 %","98,0 %","98,9 %","97,3 %"
% des voyageurs sensibilisés,"99,5 %","97,0 %",100 %,"98,0 %","98,0 %","98,9 %","98,6 %"
Nombre d’alertes notifiées,0,5,0,0,1,2,8
Nombre d’alertes vivantes validées (cas suspects),0,2,0,0,1,0,3
Nombre de corps sans vie interceptés ce jour,0,0,0,0,0,0,0
% des cas suspects transférés au CT/CTE,NA (0/0),100 % (2/2),NA,NA,0 % (0/1),NA,"66,7 % (2/3)"
% des corps sans vie swabés/sécurisés,NA (0/0),NA (0/0),NA,NA,NA (0/0),NA,NA (0/0)
% des cas suspects investigués dans 24 h,NA (0/0),100 % (2/2),NA,NA,100 % (1/1),100 % (2/2),100 % (5/5)
