Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1601,511,"31,9%"
Bunia,483,137,"28,4%"
Rwampara,364,76,"20,9%"
Mongbwalu,310,165,"53,2%"
Nyankunde,97,20,"20,6%"
Nizi,94,28,"29,8%"
Lita,40,16,"40,0%"
Komanda,23,8,"34,8%"
Bambu,28,9,"32,1%"
Kilo,9,1,"11,1%"
Mangala,40,20,"50,0%"
Tchomia,15,2,"13,3%"
Damas,5,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,4,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,4,3,"75,0%"
Logo,7,0,"0,0%"
Drodro,3,3,"100,0%"
Gety,1,0,"0,0%"
Kambala,2,2,"100,0%"
Nia-Nia,35,13,"37,1%"
Fataki,4,1,"25,0%"
Mandima,5,2,"40,0%"
Lolwa,1,1,"100,0%"
Boga,1,1,"100,0%"
Autres zones non encore identifiées,17,0,"0,0"
NORD-KIVU,155,88,"56,8%"
Butembo,42,20,"47,6%"
Katwa,61,41,"67,2%"
Beni,29,19,"65,5%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,4,2,"50,0%"
Goma,1,0,"0,0%"
Masereka,3,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,8,2,"25,0%"
SUD-KIVU,3,1,"33,3"
Miti-Murhesa,3,1,"33,3"
TOTAL,1759,600,"34,1%"
