Event Date,Event Description
"April 24, 2026",The first suspect developed symptoms (index case). Probable start of the transmission chain.
"April 26, 2026","Strong severity, possible hemorrhagic syndrome."
"April 27, 2026",Death of the first suspect case.
"April 27, 2026",The second suspect case (sibling/companion) developed symptoms.
"April 28, 2026",Samples sent to the INRB Kinshasa.
"April 30, 2026",GeneXpert test negative in Bunia.
"May 5, 2026","Alert notified, awaiting verification. Etiology: filovirus. Virus Ebola Zaire ruled out."
"May 6, 2026",Alert on social media: ~50 deaths in Mongbwalu.
"May 13, 2026",Uganda declares an epidemic due to an imported case. (The Ministry of Health of Uganda confirmed 1 imported case of BDBV).
"May 14, 2026",Genomic sequencing confirms the Ebola virus Bundibugyo. Event classified as EVD (Ebola Virus Disease) species Bundibugyo.
"May 15, 2026",INRB Kinshasa confirms the Ebola virus (non-Zaire species).
"May 15, 2026",The first sequencing of positive samples confirms the Ebola virus Bundibugyo.
