Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,709,141,ND,ND,850
Patients au lit (J-1),536,164,ND,ND,700
Total admissions (24 h),118,62,ND,ND,180
Total admissions,654,226,ND,ND,880
Sorties Décédés,25,2,ND,ND,27
Sorties Non-cas,54,42,ND,ND,96
Sorties Guéris,13,0,ND,ND,13
Sorties Evadés,6,1,ND,ND,7
Sorties Transférés à l'HGR,0,0,ND,ND,0
Total sorties (24 h),98,45,ND,ND,143
Patients en isolement (fin J),556,181,ND,ND,737
dont confirmés,270,16,ND,ND,286
dont suspects,286,165,ND,ND,451
Taux d'occupation,"78,4 %","128,4 %",ND,ND,"86,7 %"
