Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4391,1958,"44,6%",82,29,14,43
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,11,5,"45,5%","","","",0
Bambu,114,26,"22,8%",2,0,"",0
Boga,1,1,"100,0%","","","",0
Bunia,1219,384,"31,5%",25,12,"",12
Damas,25,9,"36,0%","","","",0
Drodro,13,6,"46,2%","","","",0
Fataki,72,30,"41,7%",1,0,"",0
Gethy,5,2,"40,0%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,31,12,"38,7%","","","",0
Komanda,53,37,"69,8%",2,2,"",2
Lita,186,106,"57,0%",3,2,"",2
Logo,11,5,"45,5%","","","",0
Lolwa,17,4,"23,5%",2,0,"",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,14,7,"50,0%","","","",0
Mandima,25,16,"64,0%",2,2,"",2
Mangala,173,99,"57,2%",8,7,"",7
Mongbwalu,593,282,"47,6%",2,0,"",0
Nia-Nia,178,104,"58,4%",3,1,"",1
Nizi,558,243,"43,5%",15,3,"",3
Nyankunde,121,35,"28,9%","","","",0
Rimba,9,4,"44,4%","","","",0
Rwampara,879,332,"37,8%",16,0,"",0
Tchomia,51,25,"49,0%",1,0,"",0
A ventiler,NA,174,NA,"","",14,14
Nord-Kivu,645,440,"68,2%",12,5,4,9
Beni,98,71,"72,4%",2,0,"",0
Butembo,124,98,"79,0%",6,2,"",2
Goma,1,0,"0,0%","","","",0
Kalunguta,13,6,"46,2%","","","",0
Katwa,310,204,"65,8%",4,3,2,5
Kyondo,15,12,"80,0%","","","",0
Lubero,1,1,"100,0%","","","",0
Mabalako,2,1,"50,0%","","","",0
Masereka,7,4,"57,1%","","","",0
Musienene,63,37,"58,7%","","",2,2
Oicha,6,4,"66,7%","","","",0
Vuhovi,5,2,"40,0%","","","",0
Haut-Uélé,153,69,"45,1%",8,1,3,4
Boma Mangbetu,23,9,"39,1%","","",1,1
Gombari,1,1,"100,0%","","","",0
Isiro,55,24,"43,6%",8,1,1,2
Pawa,20,14,"70,0%","","","",0
Rungu,1,0,"0,0%","","","",0
Wamba,53,21,"39,6%","","",1,1
Tshopo,14,7,"50,0%",0,0,0,0
Bafwasende,1,0,"0,0%","","","",0
Kabondo,3,2,"66,7%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,5,4,"80,0%","","","",0
Mangobo,2,1,"50,0%","","","",0
Tshopo,1,0,"0,0%","","","",""
Wanie-Rukula,1,0,"0,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,2,1,"50,0%",1,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%",1,0,0,""
Total,5208,2476,"47,5%",103,35,21,56
