INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"2 (66,7%)","1 (100,0%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"79 (61,7%)","9 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"11 (55,0%)","5 (100,0%)","1(100,0%)"
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"88 (63,3%)","12 (100,0%)","1(100,0%)"
Résultats de laboratoire ayant été annoncés,14,23,1
Dont positifs,0,1,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,0,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,3,0
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,56,2,0
Nb PPL ayant bénéficié d'interventions SMSPS,11,2,0
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,31,1,0
Nbre d'EDS appuyés,16,3,0
