Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1387,411,"29,6"
Bunia,431,112,"26,0"
Rwampara,333,69,"20,7"
Mongbwalu,276,139,"50,4"
Nyankunde,95,17,"17,9"
Nizi,65,19,"29,2"
Lita,33,12,"36,4"
Komanda,19,5,"26,3"
Bambu,18,5,"27,8"
Kilo,9,1,"11,1"
Mangala,26,14,"53,8"
Tchomia,15,2,"13,3"
Damas,5,0,"0,0"
Aungba,6,2,"33,3"
Rimba,3,0,"0,0"
Aru,3,1,"33,3"
Mambasa,2,1,"50,0"
Logo,7,0,"0,0"
Drodro,3,3,"100,0"
Gety,1,0,"0,0"
Kambala,2,2,"100,0"
Nia-Nia,12,5,"41,7"
Fataki,1,0,"0,0"
Mandima,4,1,"25,0"
Lolwa,1,1,"100,0"
Autres zones non encore identifiées,17,0,"0,0"
NORD-KIVU,138,80,"58,0"
Butembo,40,18,"45,0"
Katwa,51,37,"72,5"
Beni,29,17,"58,6"
Oicha,3,2,"66,7"
Kalunguta,2,1,"50,0"
Kyondo,4,2,"50,0"
Goma,1,0,"0,0"
Masereka,2,0,"0,0"
Vuhovi,1,1,"100,0"
Mabalako,1,0,"0,0"
Musienene,4,2,"50,0"
SUD-KIVU,3,1,"33,3"
Miti-Murhesa,3,1,"33,3"
TOTAL,1 528,492,"32,2"
