INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"6(30,0%)","1(100,0%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"49(55,7%)","7(100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"7(22,6%)","8(100,0%)","1(100,0%)"
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"45(52,9%)","18(100,0%)","3(100,0%)"
Résultats de laboratoire ayant été annoncés,17,15,0
Dont positifs,6,1,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,"0(0,0%)","0(0,0%)","0(0,0%)"
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,23
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,64,13,3
Nb PPL ayant bénéficié d'interventions SMSPS,0,8,17
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,53,29,0
Nbre d'EDS appuyés,0,1,0
