Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (16/16),100 % (9/9),21 % (4/19),30 %,"70,2 %**"
Nombre de personnes passées aux PoE/PoC,112 101,72 711,11 559,ND,ND,196 371*
% des voyageurs screenés,94 %,"97,86 %",98 %,100 %,100 %,"95,4 %*"
% des voyageurs ayant lavé les mains,93 %,"97,86 %",98 %,"98,5 %",100 %,"95,4 %*"
% des voyageurs sensibilisés,"98,9 %","97,86 %",100 %,100 %,100 %,"98,6 %*"
Nombre d'alertes notifiées,2,2,0,1,0,5
Nombre d'alertes vivantes validées,2,1,0,0,0,3
Nombre de corps sans vie interceptés ce jour,0,1,0,0,0,1
Nombre de contacts à problème interceptés ce jour,1,0,0,0,0,1
% d'alertes vivantes validées référées au CT/CTE,"50,0 % (1/2)",100 % (1/1),NA,NA,NA,"66,7 % (2/3)"
% des corps sans vie swabés,NA,100 % (1/1),NA,NA,NA,100 % (1/1)
Nombre de résultat positif des cas suspects référés,0,0,0,0,0,0
