Indicateurs,Ituri,Nord-Kivu,Global
Complétude des rapports journaliers,100 % (57/57),100 % (14/14),100 % (71/71)
Proportion de PoC activés et PoE renforcés,100 % (57/57),100 % (14/14),100 % (71/71)
Nombre de personnes passées aux PoE/PoC,90 389,53 705,144 094
% des voyageurs screenés,"93,9 %","98,0 %","95,4 %"
% des voyageurs ayant lavé les mains,"93,0 %","98,0 %","94,9 %"
% des voyageurs sensibilisés,"98,2 %","98,0 %","98,1 %"
Nombre d'alertes notifiées,5,2,7
Nombre d'alertes vivantes validées,2,0,2
Nombre de corps sans vie interceptés ce jour,2,2,4
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,"100,0 %",s.o.,"100,0 %"
% des corps sans vie swabés,"50,0 %","0,0 %","25,0 %"
Nombre de résultat positif des cas suspects référés,0,0,0
