INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,"12 (85,7%)",0,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"30 (31,2%)",7,0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"21 (65,6%)",6,1
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"72 (62,0%)",24,"2 (100,0%)"
Résultats de laboratoire ayant été annoncés,23,19,0
Résultats de laboratoire ayant été annoncés Dont positifs,8,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,4,0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,11
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,58,21,1
Nb PPL ayant bénéficié d'interventions SMSPS,28,9,0
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,24,0,0
Nbre d'EDS appuyés,16,0,0
