Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5508,2501,"45,4%",47,13,7,20
Adja,11,1,"9,1%","","","",0
Aru,8,6,"75,0%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,177,39,"22,0%",1,0,0,0
Boga,2,2,"100,0%","","","",0
Bunia,1528,477,"31,2%",5,1,0,1
Damas,33,9,"27,3%",1,0,0,0
Drodro,15,7,"46,7%","","","",0
Fataki,78,30,"38,5%","","","",0
Gethy,7,3,"42,9%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,33,12,"36,4%","","","",0
Komanda,123,82,"66,7%",5,2,0,2
Lita,251,123,"49,0%",4,1,0,1
Logo,13,5,"38,5%","","","",0
Lolwa,31,8,"25,8%",6,1,0,1
Mahagi,4,1,"25,0%","","","",0
Mambasa,17,7,"41,2%","","","",0
Mandima,44,24,"54,5%","","","",0
Mangala,309,146,"47,2%",12,5,0,5
Mongbwalu,644,294,"45,7%",4,1,0,1
Nia-Nia,229,116,"50,7%",1,1,0,1
Nizi,726,273,"37,6%",3,0,0,0
Nyankunde,125,36,"28,8%","","","",0
Rimba,11,4,"36,4%","","","",0
Rwampara,1004,349,"34,8%",5,1,"",1
Tchomia,63,25,"39,7%","","","",0
A ventiler,NA,415,NA,"","",7,7
Nord-Kivu,1139,725,"63,7%",46,14,2,16
Beni,195,145,"74,4%",10,7,0,7
Biena,10,4,"40,0%",1,0,0,0
Butembo,220,149,"67,7%",3,1,0,1
Goma,1,0,"0,0%","","","",0
Kalunguta,23,11,"47,8%",3,2,0,2
Katwa,486,309,"63,6%",9,2,2,4
Kayna,1,0,"0,0%","","","",0
Kyondo,26,17,"65,4%",1,0,0,0
Lubero,10,4,"40,0%",3,0,0,0
Mabalako,18,8,"44,4%",8,1,0,1
Manguredjipa,4,3,"75,0%","","","",0
Masereka,15,6,"40,0%","","","",0
Musienene,103,55,"53,4%",2,0,0,0
Mutwanga,3,2,"66,7%",1,0,0,0
Oicha,10,7,"70,0%",1,1,0,1
Vuhovi,14,5,"35,7%",4,0,0,0
Haut-Uélé,264,110,"41,7%",6,2,1,3
Boma Mangbetu,29,14,"48,3%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,92,38,"41,3%",0,0,1,1
Pawa,52,25,"48,1%",6,2,"",2
Rungu,2,1,"50,0%","","","",0
Wamba,86,31,"36,0%","","","",0
Tshopo,24,9,"37,5%",0,0,0,0
Bafwasende,4,0,"0,0%","","","",0
Kabondo,4,1,"25,0%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,10,5,"50,0%","","","",0
Mangobo,3,2,"66,7%","","","",0
Tshopo,1,0,"0,0%","","","",0
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,4,3,"75,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",0
Ganga,2,2,"100,0%","","","",0
Total,6942,3349,"48,2%",99,29,10,39
