INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,1% (54/55)","100,0% (14/14)","98,5% (68/69)"
Nombre de personnes passées aux PoE/PoC,89 504,29 741,119 245
% des voyageurs screenés,"96,7%","95,1%","95,9%"
% des voyageurs ayant lavé les mains,"96,3%","95,1%","95,7%"
% des voyageurs sensibilisés,"99,4%","95,1%","97,3%"
Nombre d’alertes notifiées,5,2,7
Nombre d’alertes vivantes validées,3,1,4
Nombre des corps sans vie interceptés ce jour,2,0,2
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"66,6%","50,0%","58,3%"
% des corps sans vie swabés,"100,0%","0,0%","0,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
