INDICATEURS,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,2% (54/55)","100,0% (14/14)","98,6%(68/69)"
Nombre de personnes passées aux PoE/PoC,96 657,59 687,156 344
% des voyageurs screenés,"91,3%","97,9%","93,8%"
% des voyageurs ayant lavé les mains,"93,8%","97,9%","95,3%"
% des voyageurs sensibilisés,"99,6%","97,9%","99,0%"
Nombre d’alertes notifiées,4,3,7
Nombre d’alertes vivantes validées,2,0,2
Nombre des corps sans vie interceptés ce jour,2,2,4
Nombre des contacts à problème interceptés ce jour,0,0,0
% d’alertes vivantes validées référées au CT/CTE,"100,0%","0,0%","100,0%"
% des corps sans vie swabés,"100,0%","100,0%","100,0%"
Nombre de résultat positif des cas suspects référés,0,0,0
