INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,2(25%),0,0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"47(38,2%)",4(60%),1(100%)
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"7(14,9%)",2(100%),2(100%)
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"12(12,8%)","20(90,9%)",9 (100%)
Résultats de laboratoire ayant été annoncé,12,0,0
Résultats de laboratoire ayant été annoncé Dont positifs,5,0,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,1,4(100%),0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,16,3,0
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,23,12,0
Nb PPL ayant bénéficié d'interventions SMSPS,9,17,""
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,45,6,59
Nbre d'EDS appuyés,2,7,0
