Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Global
Proportion de PoC activés et PoE renforcés,"98,3 %",100 %,100 %,"98,7 %"
Nombre de personnes passées aux PoE/PoC,148 032,80 917,84 432,313 381
% des voyageurs screenés,"98,0 %","97,2 %",100 %,"98,3 %"
% des voyageurs ayant lavé les mains,"98,0 %",ND,100 %,"98,7 %"
% des voyageurs sensibilisés,"98,0 %",ND,100 %,"98,7 %"
Nombre d’alertes notifiées,0,2,0,2
Nombre d’alertes vivantes validées,0,0,0,0
Nombre de corps sans vie interceptés ce jour,0,0,0,0
Nombre de contacts à problèmes interceptés ce jour,0,0,0,0
% d’alertes vivantes validées référées au CT/CTE,NA,NA,NA,NA
% des corps sans vie swabés,NA,NA,NA,NA
