Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4309,1915,"44,4%",52,25,12,37
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,8,2,"25,0%",1,0,"",0
Aungba,11,5,"45,5%","","","",0
Bambu,112,26,"23,2%",3,1,"",1
Boga,1,1,"100,0%","","","",0
Bunia,1194,372,"31,2%",20,14,"",14
Damas,25,9,"36,0%","","","",0
Drodro,13,6,"46,2%","","","",0
Fataki,71,30,"42,3%",2,0,"",0
Gethy,5,2,"40,0%",1,1,"",1
Kambala,2,0,"0,0%","","","",0
Kilo,31,12,"38,7%","","","",0
Komanda,51,35,"68,6%",3,3,"",3
Lita,183,104,"56,8%",2,2,"",2
Logo,11,5,"45,5%","","","",0
Lolwa,15,4,"26,7%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,14,7,"50,0%","","","",0
Mandima,23,14,"60,9%","","","",0
Mangala,165,92,"55,8%",3,0,"",0
Mongbwalu,591,282,"47,7%",1,0,"",0
Nia-Nia,175,103,"58,9%",5,3,"",3
Nizi,543,240,"44,2%",4,0,"",0
Nyankunde,121,35,"28,9%","","","",0
Rimba,9,4,"44,4%","","","",0
Rwampara,863,332,"38,5%",7,1,"",1
Tchomia,50,25,"50,0%","","","",0
A ventiler,NA,160,NA,"","",12,12
Nord-Kivu,633,431,"68,1%",26,3,0,3
Beni,96,71,"74,0%",3,1,"",1
Butembo,118,96,"81,4%",6,1,"",1
Goma,1,0,"0,0%","","","",0
Kalunguta,13,6,"46,2%","","","",0
Katwa,306,199,"65,0%",15,1,"",1
Kyondo,15,12,"80,0%","","","",0
Lubero,1,1,"100,0%","","","",0
Mabalako,2,1,"50,0%","","","",0
Masereka,7,4,"57,1%","","","",0
Musienene,63,35,"55,6%",1,0,"",0
Oicha,6,4,"66,7%",1,0,"",0
Vuhovi,5,2,"40,0%","","","",0
Haut-Uélé,145,65,"44,8%",6,1,1,2
Boma Mangbetu,23,8,"34,8%",1,0,"",0
Gombari,1,1,"100,0%","","","",0
Isiro,47,22,"46,8%",5,1,1,2
Pawa,20,14,"70,0%","","","",0
Rungu,1,0,"0,0%","","","",0
Wamba,53,20,"37,7%","","","",0
Tshopo,14,7,"50,0%",0,0,0,0
Bafwasende,1,0,"0,0%","","","",0
Kabondo,3,2,"66,7%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,5,4,"80,0%","","","",0
Mangobo,2,1,"50,0%","","","",0
Tshopo,1,0,"0,0%","","","",""
Wanie-Rukula,1,0,"0,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,1,1,"100,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Total,5105,2420,"47,4%",84,29,13,42
