Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (CFR %)
ITURI,1366,397,"29,1"
Bunia,426,106,"24 ,9"
Rwampara,322,67,"20,8"
Mongbwalu,273,136,"49,8"
Nyankunde,95,16,"16,8"
Nizi,65,19,"29,2"
Lita,33,12,"36,4"
Komanda,19,5,"26,3"
Bambu,18,5,"27,8"
Kilo,9,1,"11,1"
Mangala,24,12,"50,0"
Tchomia,15,2,"13,3"
Damas,5,0,"0,0"
Aungba,6,2,"33,3"
Rimba,3,0,"0,0"
Aru,3,1,"33,3"
Mambasa,2,1,"50,0"
Logo,7,0,"0,0"
Drodro,3,3,"100,0"
Gety,1,0,"0,0"
Kambala,2,2,"100,0"
Nia-Nia,12,5,"41,7"
Fataki,1,0,"0,0"
Mandima,4,1,"25,0"
Lolwa,1,1,"100,0"
Autres zones non encore identifiées,17,0,"0,0"
NORD-KIVU,133,75,"56,4"
Butembo,38,16,"44,1"
Katwa,51,35,"64,2"
Beni,28,16,"60,7"
Oicha,3,2,"60,0"
Kalunguta,2,1,"50,0"
Kyondo,3,2,"66,7"
Goma,2,0,"0,0"
Masereka,1,0,"0,0"
Vuhovi,1,1,"100,0"
Mabalako,1,0,"0,0"
Musienene,3,2,"66,7"
SUD-KIVU,3,1,"33,3"
Miti-Murhesa,3,1,"33,3"
TOTAL,1 502,473,"31,5"
