Zone de santé,Cas confirmés cumulés,Décès confirmés cumulés,Létalité (CFR%)
ITURI,1333,380,"28,5%"
Bunia,416,103,"24,8%"
Rwampara,308,63,"20,5%"
Mongbwalu,270,127,"47,0%"
Nyankunde,95,16,"16,8%"
Nizi,65,19,"29,2%"
Lita,32,11,"34,4%"
Komanda,19,5,"26,3%"
Bambu,16,5,"31,3%"
Kilo,9,1,"11,1%"
Mangala,24,12,"50,0%"
Tchomia,14,2,"14,3%"
Damas,5,0,"0,0%"
Aungba,6,2,"33,3%"
Rimba,3,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,2,1,"50,0%"
Logo,7,0,"0,0%"
Drodro,3,3,"100,0%"
Gety,1,0,"0,0%"
Kambala,2,2,"100,0%"
Nia-Nia*,12,5,"41,7%"
Fataki,1,0,"0,0%"
Mandima,2,1,"50,0%"
Lolwa,1,1,"100,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,124,71,"57,3%"
Butembo,34,15,"44,1%"
Katwa,49,33,"67,3%"
Beni,26,15,"57,7%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,3,2,"66,7%"
Goma,1,0,"0,0%"
Masereka,1,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,3,2,"66,7%"
SUD-KIVU,3,1,"33,3%"
Miti Murhesa,3,1,"33,3%"
TOTAL,1 460,452,"30,9%"
