Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,5277,2378,"45,1%",53,16,7,23
Adja,11,1,"9,1%","","","",0
Aru,8,6,"75,0%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,171,36,"21,1%",1,0,"",0
Boga,2,2,"100,0%","","","",0
Bunia,1471,456,"31,0%",16,7,"",7
Damas,30,9,"30,0%","","","",0
Drodro,15,7,"46,7%",1,0,"",0
Fataki,77,30,"39,0%","","","",0
Gethy,6,2,"33,3%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,32,12,"37,5%","","","",0
Komanda,104,70,"67,3%",6,4,"",4
Lita,234,121,"51,7%",3,0,"",0
Logo,13,5,"38,5%",1,0,"",0
Lolwa,25,7,"28,0%",3,2,"",2
Mahagi,4,1,"25,0%","","","",0
Mambasa,17,7,"41,2%","","","",0
Mandima,38,21,"55,3%",2,0,"",0
Mangala,287,140,"48,8%",9,2,"",2
Mongbwalu,624,288,"46,2%",1,0,"",0
Nia-Nia,221,113,"51,1%","","","",0
Nizi,688,267,"38,8%",5,0,"",0
Nyankunde,124,35,"28,2%","","","",0
Rimba,11,4,"36,4%","","","",0
Rwampara,982,345,"35,1%",5,1,"",1
Tchomia,60,25,"41,7%","","","",0
A ventiler,NA,361,NA,NA,NA,7,7
Nord-Kivu,969,638,"65,8%",31,14,1,15
Beni,157,115,"73,2%",1,0,"",0
Biena,2,1,"50,0%",1,0,"",0
Butembo,197,138,"70,1%",4,2,"",2
Goma,1,0,"0,0%","","","",0
Kalunguta,17,8,"47,1%","","","",0
Katwa,440,286,"65,0%",13,7,1,8
Kayna,1,0,"0,0%",1,0,"",""
Kyondo,17,12,"70,6%",1,0,"",0
Lubero,5,4,"80,0%",1,1,"",1
Mabalako,7,5,"71,4%","","","",0
Manguredjipa,3,2,"66,7%",1,1,"",1
Masereka,13,5,"38,5%","","","",0
Musienene,92,50,"54,3%",7,2,"",2
Mutwanga,2,2,"100,0%","","","",0
Oicha,8,6,"75,0%","","","",0
Vuhovi,7,4,"57,1%",1,1,"",1
Haut-Uélé,247,105,"42,5%",2,0,1,1
Boma Mangbetu,29,14,"48,3%","","","",0
Gombari,3,1,"33,3%","","","",0
Isiro,90,36,"40,0%",1,0,"",0
Pawa,40,22,"55,0%",1,0,"",0
Rungu,2,1,"50,0%","","","",0
Wamba,83,31,"37,3%","","",1,1
Tshopo,22,9,"40,9%",0,0,0,0
Bafwasende,2,0,"0,0%","","","",0
Kabondo,4,1,"25,0%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,10,5,"50,0%","","","",0
Mangobo,3,2,"66,7%","","","",0
Tshopo,1,0,"0,0%","","","",0
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,4,3,"75,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",0
Ganga,2,2,"100,0%","","","",0
Total,6522,3134,"48,1%",86,30,9,39
