INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,2 (40%),"2 (100,0%)",0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"65 (56,5%)","2 (100,0%)",0
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"12 (63,1%)","6 (100,0%)",0
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"70 (67,9%)","17 (100,0%)","3 (100,0%)"
Résultats de laboratoire ayant été annoncés,32,13,1
Dont positifs,2,2,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,"1 (100,0%)",0,0
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,9
Nb accompagnants au CTE ayant bénéficié d'interventions SMSPS,57,8,0
Nb PPL ayant bénéficié d'interventions SMSPS,14,3,0
Nb membres des ménages et communautés ayant bénéficié d'interventions SMSPS,15,3,0
Nbre d'EDS appuyés,14,2,0
