Province / Zone de santé,Cas confirmés cumulés (n),Décès parmi confirmés (n),Létalité (%)
ITURI,817,186,"22,8%"
Bunia,247,41,"16,6%"
Rwampara,195,33,"16,9%"
Mongbwalu,189,83,"43,9%"
Nyankunde,68,6,"8,8%"
Nizi,25,5,"20,0%"
Lita,18,4,"22,2%"
Komanda,10,3,"30,0%"
Bambu,9,2,"22,2%"
Kilo,7,1,"14,3%"
Mangala,5,3,"60,0%"
Tchomia,5,0,"0,0%"
Damas,4,0,"0,0%"
Aungba,4,1,"25,0%"
Rimba,3,0,"0,0%"
Aru,3,1,"33,3%"
Mambasa,2,1,"50,0%"
Logo,2,0,"0,0%"
Drodro,1,1,"100,0%"
Gety,1,0,"0,0%"
Kambala,1,1,"100,0%"
Nia-Nia,1,1,"100,0%"
Fataki,1,0,"0,0%"
Autres zones non encore identifiées,17,0,"0,0%"
NORD-KIVU,76,45,"59,2%"
Butembo,25,11,"44,0%"
Katwa,24,16,"66,7%"
Beni,15,12,"80,0%"
Oicha,3,2,"66,7%"
Kalunguta,2,1,"50,0%"
Kyondo,2,1,"50,0%"
Goma,1,0,"0,0%"
Masereka,1,0,"0,0%"
Vuhovi,1,1,"100,0%"
Mabalako,1,0,"0,0%"
Musienene,1,1,"100,0%"
SUD-KIVU,3,1,"33,3%"
Miti-Murhesa,3,1,"33,3%"
TOTAL GÉNÉRAL,896,232,"26,3%"
