Indicateurs,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (15/15),100 % (75/75)
Nombre de personnes passées aux PoE/PoC,94 657,67 652,162 309
% des voyageurs screenés,"93,0 %","97,12 %","94,7 %"
% des voyageurs ayant lavé les mains,"92,0 %","97,12 %","94,6 %"
% des voyageurs sensibilisés,"98,8 %","97,12 %","98,1 %"
Nombre d'alertes notifiées,8,0,8
Nombre d'alertes vivantes validées,6,0,6
Nombre de corps sans vie interceptés ce jour,1,0,1
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,"100,0 %",NA,"100,0 %"
% des corps sans vie swabés,NA,NA,0%
Nombre de résultat positif des cas suspects référés,0,0,0
