Indicateur,Ituri,Nord-Kivu,Haut-Uele,Tshopo,Ensemble
Nombre de lits,709,141,ND,10,860
Patients au lit (J-1),551,170,ND,3,724
Total admissions (24 h),107,61,ND,1,169
Total admissions,658,231,ND,4,893
Sorties Décédés,23,1,ND,0,24
Sorties Non-cas,42,36,ND,0,78
Sorties Guéris,20,1,ND,0,21
Sorties Evadés,3,1,ND,0,4
Sorties Transférés à l'HGR,0,0,ND,0,0
Total sorties (24 h),88,39,ND,0,127
Patients en isolement (fin J),570,192,ND,4,766
dont confirmés,258,20,ND,0,278
dont suspects,312,172,ND,4,488
Taux d'occupation,"80,4%","136,2 %",ND,"40,0%","89,1 %"
