Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (18/18),100 % (9/9),"21,1 % (4/19)","23,7 % (9/38)","69,4 % (100/144)"
Nombre de personnes passées aux PoE/PoC,106591,ND,0,2278,ND,108869
% des voyageurs screenés,"97,2 %","97,9 %",0,"98,6 %",ND,"97,2 %"
% des voyageurs ayant lavé les mains,"97,0 %",ND,ND,"98,2 %",ND,"97,0 %"
% des voyageurs sensibilisés,"99,2 %",ND,ND,"100,0 %",ND,"99,2 %"
Nombre d'alertes notifiées,2,0,0,0,0,2
Nombre d'alertes vivantes validées,2,0,0,0,0,2
Corps sans vie interceptés ce jour,0,0,0,0,0,0
Contacts à problème interceptés ce jour,0,0,0,0,0,0
% d'alertes vivantes validées référées au CT/CTE,"50,0 % (1/2)",0,0,0,0,"50,0 % (1/2)"
% des corps sans vie swabés,ND,ND,0,ND,ND,ND
Résultats positifs des cas suspects référés,0,0,0,0,0,0
