Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 %,100 %,100 %,100 %
Nombre de personnes passées aux PoE/PoC,140 489,78 909,84 432,303 830
% des voyageurs screenés,"98,0 %","98,0 %",100 %,"98,6 %"
% des voyageurs ayant lavé les mains,"95,0 %","98,0 %",100 %,"97,2 %"
% des voyageurs sensibilisés,"99,3 %","98,0 %",100 %,"99,2 %"
Nombre d’alertes notifiées,1,0,0,1
Nombre d’alertes vivantes validées,1,0,0,1
Nombre de corps sans vie interceptés ce jour,0,0,0,0
Nombre de contacts à problèmes interceptés ce jour,0,0,0,0
% d’alertes vivantes validées référées au CT/CTE,100 %,NA,NA,100 %
% des corps sans vie swabés,NA,NA,NA,NA
