Indicateurs clés SMSPS,Ituri,Nord-Kivu
Nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"17 (100,0 %)",0
Cas confirmés en cours de suivi,"143 (75,7 %)",3 (100 %)
Nouveaux cas suspects,"22 (27,5 %)",15 (100 %)
Cas suspects en cours de suivi,"99 (63,9%)",6 (100 %)
Résultats de laboratoire annoncés (dont positifs),67(17),6(2)
Enfants séparés — crèche / communauté,1/0,0/0
Accompagnants au CTE,246,36
Personnels de première ligne (PPL),28,34
Membres des ménages et communautés,68,0
EDS appuyés (SMSPS),7,0
