Zones de santé,Report des alertes (21/05),Nouvelles alertes (22/05),Total des alertes du jour (22/05),Alertes vivants,Alertes décédés,Alertes investiguées,Alertes non investiguées,Alertes validées,Alertes invalidées,Cas suspects prélevés,Cas suspects non prélévés,Cas suspects isolés,Cas suspects non isolés
BUNIA,6,21,27,21,6,25,2,22,3,5,17,22,0
RWAMPARA,7,9,16,10,6,10,6,7,3,7,0,3,4 (décès)
NYANKUNDE,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MONGBWALU,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
NIZI,0,1,1,0,1,1,0,1,0,1,0,0,1 (décès)
ARU,0,1,1,1,0,1,0,1,0,1,0,1,0
KILO,0,18,18,18,0,8,10,8,0,8,0,8,0
BAMBU,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ADI,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
LITA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FATAKI,0,2,2,2,0,2,0,2,0,2,0,2,0
LOGO,0,4,4,2,2,4,0,4,0,4,0,2,2 (décès)
AUNGBA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RETHY,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
KOMANDA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
NYARAMBE,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TCHOMIA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DRODRO,0,2,2,2,0,2,0,2,0,2,0,2,0
MAMBASSA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MANGALA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
LOLWA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TOTAL,13,58,71,56,15,53,18,47,6,30,17,40,7
