Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,4655,2088,"44,9%",48,6,17,23
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,8,2,"25,0%","","","",0
Aungba,12,5,"41,7%","","","",0
Bambu,127,28,"22,0%","","","",0
Boga,1,1,"100,0%","","","",0
Bunia,1298,405,"31,2%",19,3,"",3
Damas,27,9,"33,3%","","","",0
Drodro,13,6,"46,2%","","","",0
Fataki,73,30,"41,1%","","","",0
Gethy,5,2,"40,0%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,32,12,"37,5%",1,0,"",0
Komanda,59,38,"64,4%",1,0,"",0
Lita,197,109,"55,3%",1,1,"",1
Logo,11,5,"45,5%","","","",0
Lolwa,18,4,"22,2%",1,0,"",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,14,7,"50,0%","","","",0
Mandima,32,19,"59,4%","","","",0
Mangala,197,106,"53,8%",6,0,"",0
Mongbwalu,602,283,"47,0%",2,0,"",0
Nia-Nia,193,108,"56,0%",2,1,"",1
Nizi,612,252,"41,2%",3,0,"",0
Nyankunde,122,35,"28,7%","","","",0
Rimba,10,4,"40,0%","","","",0
Rwampara,913,335,"36,7%",11,1,"",1
Tchomia,55,25,"45,5%",1,0,"",0
A ventiler,NA,250,NA,NA,NA,17,17
Nord-Kivu,728,498,"68,4%",14,8,0,8
Beni,117,84,"71,8%",3,0,"",0
Butembo,138,106,"76,8%",1,0,"",0
Goma,1,0,"0,0%","","","",0
Kalunguta,15,7,"46,7%",2,1,"",1
Katwa,348,234,"67,2%",6,5,"",5
Kyondo,16,12,"75,0%","","","",0
Lubero,1,1,"100,0%","","","",0
Mabalako,3,2,"66,7%","","","",0
Masereka,7,4,"57,1%","","","",0
Musienene,70,41,"58,6%",2,2,"",2
Mutwanga,1,1,"100,0%","","","",0
Oicha,6,4,"66,7%","","","",0
Vuhovi,5,2,"40,0%","","","",0
Haut-Uélé,181,84,"46,4%",8,2,5,7
Boma Mangbetu,26,13,"50,0%",2,"",4,4
Gombari,3,1,"33,3%","","","",0
Isiro,68,29,"42,6%",1,0,1,1
Pawa,20,15,"75,0%","","","",0
Rungu,1,0,"0,0%","","","",0
Wamba,63,26,"41,3%",5,2,"",2
Tshopo,15,8,"53,3%",0,0,0,0
Bafwasende,1,0,"0,0%","","","",0
Kabondo,3,1,"33,3%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,6,4,"66,7%","","","",0
Mangobo,2,2,"100,0%","","","",0
Tshopo,1,0,"0,0%","","","",""
Wanie-Rukula,1,1,"100,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Bas Uélé,2,1,"50,0%",0,0,0,0
Buta,1,1,"100,0%","","","",0
Viadana,1,0,"0,0%","","","",""
Total,5584,2680,"48,0%",70,16,22,38
