INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Proportion des nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"6 (22,2%)","",""
Proportion des cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"16 (20,0%)","3 (100,0%)","3 (100,0%)"
Proportion Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"9 (31,0%)","","2(100,0%)"
Proportion cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"18 (13,6%)","13 (86,7%)","3 (100,0%)"
Proportion Résultats de laboratoire ayant été annoncé,43,"",""
Dont positifs,"14 (32,6%)","",""
Proportion Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,9,"","3 (100,0%)"
Proportion Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,"","6 (46,2%)"
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,40,6,6
Nb PPL ayant bénéficié d'interventions SMSPS,15,9,6
Nb des ménages et communautés ayant bénéficié d'interventions SMSPS,40,13,4
Proportion des malades ayant bénéficié des Kit de dignité au CTE,0,0,"1 (100,0%)"
