Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Complétude des rapports,"91,7% (55/60)",100% (19/19),"55,5% (5/9)","94,4% (17/18)","64,0% (7/11)","88,0% (103/117)"
% des PoE/PoC stratégiques fonctionnels,100%,100%,100%,100%,100%,100%
Nombre de personnes passées aux PoE/PoC,142 526,88 843,7 361,18 072,13 336,270 138
% des voyageurs screenés,"99,00%","98,17%","98,60%","99,00%","98,00%","98,20%"
% des voyageurs ayant lavé les mains,"98,50%","98,17%","98,60%","98,80%","98,00%","98,00%"
% des voyageurs sensibilisés,"99,10%","98,17%","100,00%","100,00%","99,00%","99,20%"
Nombre d’alertes notifiées,1,3,0,0,0,4
Nombre d’alertes vivantes validées (cas suspects),1,1,0,0,0,2
Nombre de corps sans vie interceptés ce jour,0,2,0,0,0,2
% des cas suspects transférés au CT/CTE,100%,100%,NA,NA,NA,100%
% des corps sans vie swabés/sécurisés,NA,100%,NA,NA,NA,100%
% des cas suspects investigués dans 24 h,100%,100%,NA,NA,NA,100%
