col,Ituri,Nord-Kivu,Haut-Uélé,Sud-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 %,100 %,"28,9 %",ND,"76,7 %"
Nombre de personnes passées aux PoE/PoC,141 637,89 357,5 780,10 896,247 670
% des voyageurs screenés,"97,5 %","97,3 %","99,0 %","98,5 %","97,5 %"
% des voyageurs ayant lavé les mains,"97,4 %","97,3 %","99,3 %","98,5 %","97,5 %"
% des voyageurs sensibilisés,"99,5 %","97,3 %","99,2 %",100 %,"98,7 %"
Nombre d’alertes notifiées,3,2,1,0,6
Nombre d’alertes vivantes validées,3,2,0,0,5
Nombre de corps sans vie interceptés ce jour,0,0,1,0,1
Nombre de contacts à problèmes interceptés ce jour,0,0,0,0,0
% d’alertes vivantes validées référées au CT/CTE,100 %,50 %,NA,NA,"80,0 %"
% des corps sans vie swabés,NA,NA,100 %,NA,100 %
