Indicateurs,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (15/15),100 % (75/75)
Nombre de personnes passées aux PoE/PoC,106 310,60 919,167 229
% des voyageurs screenés,"94,5 %","98,4 %","95,9 %"
% des voyageurs ayant lavé les mains,"93,9 %","98,4 %","95,5 %"
% des voyageurs sensibilisés,"98,8 %","98,4 %","98,7 %"
Nombre d'alertes notifiées,6,5,11
Nombre d'alertes vivantes validées,6,4,10
Nombre de corps sans vie interceptés ce jour,0,1,1
Nombre de contacts à problème interceptés ce jour,0,0,0
% d'alertes vivantes validées référées au CT/CTE,"66,7 %",60%,"63,6 %"
% des corps sans vie swabés,NA,20%,20%
Nombre de résultat positif des cas suspects référés,0,0,0
