Indicateurs,Ituri,Nord-Kivu,Global
Proportion de PoC activés et PoE renforcés,100 % (60/60),100 % (16/16),100 % (76/76)
Nombre de personnes passées aux PoE/PoC,101 472,65 618,167 090
% des voyageurs screenés,"93,7 %","97,7 %","95,3 %"
% des voyageurs ayant lavé les mains,"93,6 %","97,7 %","95,2 %"
% des voyageurs sensibilisés,"95,7 %","97,7 %","96,5%"
Nombre d'alertes notifiées,4,0,4
Nombre d'alertes vivantes validées,3,0,3
Nombre de corps sans vie interceptés ce jour,1,0,1
Nombre de contacts à problème interceptés ce jour,1,0,1
% d'alertes vivantes validées référées au CT/CTE,"66,7 % (2/3)",NA,"66,7 % (2/3)"
% des corps sans vie swabés,"100,0 % (1/1)",NA,"100,0 % (1/1)"
Nombre de résultat positif des cas suspects référés,100 % (60/60),0,0
